loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],debug[0],debug[1],debug[2],debug[3],debug[4],debug[5],debug[6],debug[7],motor[0],motor[1],motor[2],motor[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,78199356,-1,4,-12,0,0,0,0,-4,0,0,0,3,7,-1,1000,-1,3,0,0,1687,200,712,0,0,7,0,1,2,14,38,2049,175,222,343,0,0,0,0,0,161,207,203,158,,,,,,,,,,,
1,78200350,-1,4,-10,0,0,0,0,-5,0,0,0,3,7,-1,1000,-1,3,0,0,1688,175,712,1,-3,7,0,-2,15,2,37,2053,182,222,343,0,0,0,0,-3,156,196,206,198,3,0,0,1,1,,,,,,
2,78201344,-1,4,-6,0,0,0,0,-4,0,0,0,3,7,-1,1000,-1,3,0,0,1687,181,712,0,-5,7,-1,-3,34,-16,35,2051,178,222,343,0,0,0,0,-1,134,180,200,218,3,0,0,1,1,,,,,,
3,78202338,-1,3,-3,0,0,0,1,-2,0,0,0,3,7,-1,1000,-1,3,0,0,1687,180,712,-3,-4,8,-1,9,1,1,38,2056,180,221,343,0,0,0,19,-10,156,209,243,209,3,0,0,1,1,,,,,,
4,78203331,-2,3,-1,0,0,0,0,-1,0,0,0,3,7,-1,1000,-1,3,0,0,1687,181,711,-2,-3,7,1,-2,13,-4,38,2060,179,221,343,0,0,0,25,-5,142,197,261,214,3,0,0,1,1,,,,,,
5,78204323,-3,3,-2,0,0,0,-1,-1,0,0,0,3,7,-1,1000,-1,3,0,0,1689,182,712,-1,-1,7,-1,6,-6,12,34,2058,179,221,344,0,0,0,22,-3,153,194,244,251,3,0,0,1,1,,,,,,
6,78205314,-2,3,-5,0,0,0,1,-1,0,0,0,3,7,-1,1000,-1,3,0,0,1689,181,712,3,-4,7,4,-14,23,12,36,2057,176,220,343,0,0,0,4,-9,151,185,292,233,3,0,0,1,1,,,,,,
7,78206304,-2,4,-7,0,0,0,2,1,0,0,0,3,7,-1,1000,-1,3,0,0,1688,174,712,1,0,10,0,-5,-1,25,59,2025,169,206,344,0,0,0,13,-7,154,209,263,282,3,0,0,1,1,,,,,,
8,78207293,-2,5,-7,0,0,0,1,1,0,0,0,3,7,-1,1000,-1,3,0,0,1688,174,711,2,-4,8,1,-11,19,14,47,2041,172,214,343,0,0,0,22,3,166,197,317,258,3,0,0,1,1,,,,,,
9,78208282,-2,4,-7,0,0,0,1,0,0,0,0,3,7,-1,1000,-1,3,0,0,1688,174,711,0,-3,10,-2,-8,14,32,45,2026,166,209,343,0,0,0,15,-2,156,203,330,269,3,0,0,1,1,,,,,,
10,78209271,-2,4,-5,0,0,0,1,-3,0,0,0,3,7,-1,1000,-1,3,0,0,1688,174,712,-2,-3,9,-5,14,0,25,39,2018,163,212,343,0,0,0,-1,-13,135,200,363,264,3,0,0,1,1,,,,,,
11,78210259,-2,3,-3,0,0,0,1,-4,0,0,0,3,7,-1,1000,-1,3,0,0,1688,174,712,-3,-3,9,-2,15,-10,33,42,2022,164,210,343,0,0,0,17,-8,145,217,386,268,3,0,0,1,1,,,,,,
12,78211245,-2,2,-3,0,0,0,2,-5,0,0,0,3,7,-1,1000,-1,3,0,0,1687,136,711,-1,-2,7,-2,16,-12,27,24,2020,155,208,342,0,0,0,8,-16,140,202,385,306,3,0,0,1,1,,,,,,
13,78212228,-4,1,-4,0,0,0,-2,-5,0,0,0,3,7,-1,1000,-1,3,0,0,1687,138,712,0,1,9,-1,3,-7,37,34,2010,155,211,342,0,0,0,26,14,139,211,425,289,3,0,0,1,1,,,,,,
14,78213210,-3,2,-6,0,0,0,-1,-3,0,0,0,3,7,-1,1000,-1,3,0,0,1687,138,711,1,-2,8,1,5,3,28,29,2015,155,208,342,0,0,0,11,-9,139,186,445,298,3,0,0,1,1,,,,,,
15,78214191,-3,3,-8,0,0,0,1,0,0,0,0,3,7,-1,1000,-1,3,0,0,1687,138,710,2,0,5,1,12,-3,47,31,2012,155,208,342,0,0,0,12,-9,159,191,475,294,3,0,0,1,1,,,,,,
16,78215171,-3,4,-9,0,0,0,0,3,0,0,0,3,7,-1,1000,-1,3,0,0,1687,138,709,1,0,6,0,13,-14,57,42,2021,155,209,342,0,0,0,37,1,179,188,423,360,3,0,0,1,1,,,,,,
