loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],debug[0],debug[1],debug[2],debug[3],debug[4],debug[5],debug[6],debug[7],motor[0],motor[1],motor[2],motor[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,17980192,-1,4,-1,0,0,0,0,0,0,0,0,3,7,-1,1000,-1,3,0,0,1654,291,633,0,0,0,0,0,0,20,11,2062,144,201,261,0,0,0,0,0,179,165,176,158,,,,,,,,,,,
1,17981189,-1,4,-1,0,0,0,0,1,0,0,0,3,7,-1,1000,-1,3,0,0,1654,291,633,0,0,0,0,-2,-2,23,14,2069,144,201,261,0,0,0,3,-1,183,165,216,153,3,0,0,1,1,,,,,,
2,17982189,-1,4,0,0,0,0,0,2,0,0,0,3,7,-1,1000,-1,3,0,0,1654,291,633,0,0,-1,0,-5,-3,22,12,2065,144,201,261,0,0,0,5,-1,185,165,236,154,3,0,0,1,1,,,,,,
3,17983189,-1,4,0,0,0,0,0,1,0,0,0,3,7,-1,1000,-1,3,0,0,1653,338,633,0,0,0,0,-3,-3,23,12,2069,144,203,261,0,0,0,4,-2,184,163,226,193,3,0,0,1,1,,,,,,
4,17984190,-1,4,0,0,0,0,0,0,0,0,0,3,7,-1,1000,-1,3,0,0,1653,338,633,0,0,0,0,-1,-2,22,14,2067,147,202,261,0,0,0,0,1,179,164,271,172,3,0,0,1,1,,,,,,
5,17985192,-1,3,0,0,0,0,0,0,0,0,0,3,7,-1,1000,-1,3,0,0,1653,338,633,0,0,0,0,3,-1,19,13,2068,145,202,261,0,0,0,0,1,179,163,288,181,3,0,0,1,1,,,,,,
6,17986194,-1,3,0,0,0,0,0,0,0,0,0,3,7,-1,1000,-1,3,0,0,1653,338,633,0,0,0,0,4,-3,19,14,2067,147,202,261,0,0,0,-4,-1,177,163,319,176,3,0,0,1,1,,,,,,
7,17987196,-1,3,0,0,0,0,1,0,0,0,0,3,7,-1,1000,-1,3,0,0,1653,338,633,-1,-1,0,-2,11,-2,19,14,2067,149,202,261,0,0,0,0,-3,182,165,343,179,3,0,0,1,1,,,,,,
8,17988197,-1,3,0,0,0,0,0,0,0,0,0,3,7,-1,1000,-1,3,0,0,1652,360,633,0,0,1,-1,8,-3,22,9,2067,148,202,261,0,0,0,-2,2,179,162,330,217,3,0,0,1,1,,,,,,
9,17989197,-1,3,0,0,0,0,0,0,0,0,0,3,7,-1,1000,-1,3,0,0,1652,360,633,1,-1,0,0,10,0,16,12,2067,149,201,261,0,0,0,-2,0,181,163,376,198,3,0,0,1,1,,,,,,
