loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],debug[0],debug[1],debug[2],debug[3],debug[4],debug[5],debug[6],debug[7],motor[0],motor[1],motor[2],motor[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,81477355,1,1,3,0,0,0,-1,2,0,0,0,3,6,-1,1000,0,1,0,0,1643,150,559,0,0,-5,0,-1,-6,84,112,2049,111,224,300,0,0,0,0,0,185,158,172,172,,,,,,,,,,,
1,81478350,1,3,5,0,0,0,-2,5,0,0,0,3,6,-1,1000,0,1,0,0,1645,149,559,-1,0,-4,-1,-1,10,84,120,2049,111,224,301,0,0,0,0,20,185,168,174,212,1,7,0,1,1,9,128625207,128625207,9269,6,3421
2,81479347,1,3,6,0,0,0,-3,5,0,0,0,3,6,-1,1000,0,1,0,0,1645,150,558,-1,1,-4,0,16,-1,87,117,2050,113,224,300,0,0,0,15,10,185,160,213,191,1,7,0,1,1,9,128625207,128625207,9269,6,3421
3,81480343,0,3,6,0,0,0,-3,5,0,0,0,3,6,-1,1000,0,1,0,0,1645,150,557,0,0,-5,3,10,4,90,118,2049,112,225,300,0,0,0,8,15,185,158,233,201,1,7,0,1,1,9,128625207,128625207,9269,6,3421
4,81481340,0,3,5,0,0,0,-2,3,0,0,0,3,6,-1,1000,0,1,0,0,1645,150,557,2,0,-4,3,-2,-2,84,118,2050,112,224,300,0,0,0,-4,17,180,157,263,195,1,7,0,1,1,9,128625207,128625207,9269,6,3421
5,81482339,0,2,3,0,0,0,-1,1,0,0,0,3,6,-1,1000,0,1,0,0,1644,92,557,1,2,-5,4,5,-27,85,115,2050,112,224,299,0,0,0,2,-6,184,155,248,238,1,7,0,1,1,9,128625207,128625207,9269,6,3421
6,81483339,0,1,2,0,0,0,1,-2,0,0,0,3,6,-1,1000,0,1,0,0,1644,91,558,2,1,-3,4,-25,-13,80,116,2050,112,224,299,0,0,0,-14,24,192,181,219,216,1,7,0,1,1,9,128625207,128625207,9269,6,3421
7,81484338,1,0,1,0,0,0,1,-4,0,0,0,3,6,-1,1000,0,1,0,0,1644,91,558,2,0,-4,4,-35,-20,79,116,2050,112,224,299,0,0,0,-6,36,204,198,273,228,1,7,0,1,1,9,128625207,128625207,9269,6,3421
8,81485338,2,-1,1,0,0,0,2,-5,0,0,0,3,6,-1,1000,0,1,0,0,1643,101,557,3,-1,-3,5,-33,-24,78,111,2050,112,224,298,0,0,0,-10,30,207,195,263,262,1,7,0,1,1,9,128625207,128625207,9269,6,3421
9,81486340,2,-1,3,0,0,0,1,-3,0,0,0,3,6,-1,1000,0,1,0,0,1643,101,558,-1,0,-3,1,-21,-24,77,114,2050,112,223,298,0,0,0,-8,14,199,190,308,244,1,7,0,1,1,9,128625207,128625207,9269,6,3421
10,81487343,2,-1,5,0,0,0,0,-1,0,0,0,3,6,-1,1000,0,1,0,0,1643,101,557,-1,0,-4,3,2,-24,75,112,2051,112,223,298,0,0,0,-9,-3,187,172,325,252,1,7,0,1,1,9,128625207,128625207,9269,6,3421
11,81488347,2,0,6,0,0,0,-3,3,0,0,0,3,6,-1,1000,0,1,0,0,1642,91,557,-2,-2,-2,2,-10,-9,80,131,2050,112,223,299,0,0,0,-8,46,193,189,300,288,1,7,0,1,1,9,128625207,128625207,9269,6,3421
12,81489351,2,2,7,0,0,0,-3,5,0,0,0,3,6,-1,1000,0,1,0,0,1642,91,556,-1,-1,-6,2,12,-13,64,121,2050,112,222,298,0,0,0,9,21,203,184,352,271,1,7,0,1,1,9,128625207,128625207,9269,6,3421
13,81490354,2,2,7,0,0,0,-5,5,0,0,0,3,6,-1,1000,0,1,0,0,1642,92,555,0,-2,-1,5,-7,3,66,125,2041,113,225,298,0,0,0,10,36,200,174,366,280,1,7,0,1,1,9,128625207,128625207,9269,6,3421
14,81491356,0,3,6,0,0,0,-7,3,0,0,0,3,6,-1,1000,0,1,0,0,1642,93,555,1,3,-6,3,-7,-3,68,123,2045,112,224,298,0,0,0,4,41,193,178,399,275,1,7,0,1,1,9,128625207,128625207,9269,6,3421
15,81492359,1,2,5,0,0,0,-4,0,0,0,0,3,6,-1,1000,0,1,0,0,1642,92,555,0,-4,0,4,-18,-7,68,124,2040,113,221,298,0,0,0,-25,26,188,176,422,277,1,7,0,1,1,9,128625207,128625207,9269,6,3421
