loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],debug[0],debug[1],debug[2],debug[3],debug[4],debug[5],debug[6],debug[7],motor[0],motor[1],motor[2],motor[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,115439137,1,2,0,0,0,0,0,0,0,0,0,3,7,-1,1000,0,1,0,0,1659,491,783,0,0,0,0,0,0,-32,-9,2057,122,202,296,0,0,0,0,0,165,158,169,161,,,,,,,,,,,
1,115440134,1,2,0,0,0,0,0,0,0,0,0,3,7,-1,1000,0,1,0,0,1659,491,783,0,0,0,0,1,-2,-32,-9,2057,122,202,296,0,0,0,0,0,165,158,209,154,1,7,0,1,1,19,128625058,128625059,9184,1,3388
2,115441135,1,2,0,0,0,0,0,0,0,0,0,3,7,-1,1000,0,1,0,0,1659,491,783,0,0,0,0,-3,-6,-33,-11,2057,123,202,296,0,0,0,-1,0,165,158,229,158,1,7,0,1,1,19,128625058,128625059,9184,1,3388
3,115442135,1,2,0,0,0,0,0,0,0,0,0,3,7,-1,1000,0,1,0,0,1659,491,783,0,0,0,0,0,-6,-32,-13,2056,122,202,296,0,0,0,-1,0,163,157,259,156,1,7,0,1,1,19,128625058,128625059,9184,1,3388
4,115443135,1,2,0,0,0,0,0,0,0,0,0,3,7,-1,1000,0,1,0,0,1659,491,783,0,0,0,0,-2,-5,-33,-12,2056,122,202,296,0,0,0,0,0,165,156,284,157,1,7,0,1,1,19,128625058,128625059,9184,1,3388
5,115444137,1,2,1,0,0,0,0,0,0,0,0,3,7,-1,1000,0,1,0,0,1658,441,783,0,0,0,0,-1,-7,-32,-11,2055,122,203,296,0,0,0,0,1,164,156,272,196,1,7,0,1,1,19,128625058,128625059,9184,1,3388
6,115445141,1,2,1,0,0,0,0,0,0,0,0,3,7,-1,1000,0,1,0,0,1658,441,783,0,0,0,0,0,-7,-31,-12,2055,122,202,296,0,0,0,-1,0,163,156,318,176,1,7,0,1,1,19,128625058,128625059,9184,1,3388
7,115446145,0,3,1,0,0,0,-1,0,0,0,0,3,7,-1,1000,0,1,0,0,1658,441,783,0,1,0,0,-2,-7,-33,-11,2055,122,202,296,0,0,0,2,2,163,155,335,186,1,7,0,1,1,19,128625058,128625059,9184,1,3388
8,115447149,1,4,1,0,0,0,0,0,0,0,0,3,7,-1,1000,0,1,0,0,1658,440,783,0,-1,0,0,-6,-8,-26,-12,2055,122,201,296,0,0,0,-1,0,173,164,366,181,1,7,0,1,1,19,128625058,128625059,9184,1,3388
9,115448153,0,4,0,0,0,0,-2,0,0,0,0,3,7,-1,1000,0,1,0,0,1658,440,783,0,1,-1,1,-2,-7,-32,-11,2055,122,202,296,0,0,0,4,4,164,152,390,184,1,7,0,1,1,19,128625058,128625059,9184,1,3388
10,115449156,0,4,1,0,0,0,-1,0,0,0,0,3,7,-1,1000,0,1,0,0,1657,469,783,0,0,-1,0,-5,-12,-37,-19,2055,122,201,295,0,0,0,1,0,165,161,380,222,1,7,0,1,1,19,128625058,128625059,9184,1,3388
11,115450159,-1,4,1,0,0,0,-3,-1,0,0,0,3,7,-1,1000,0,1,0,0,1657,469,783,-1,1,-1,0,-6,-10,-36,-15,2057,122,202,295,0,0,0,3,4,154,152,425,204,1,7,0,1,1,19,128625058,128625059,9184,1,3388
12,115451161,0,3,2,0,0,0,-2,-1,0,0,0,3,7,-1,1000,0,1,0,0,1657,469,783,0,0,-1,0,-2,-14,-50,-17,2061,122,201,295,0,0,0,0,1,161,159,442,212,1,7,0,1,1,19,128625058,128625059,9184,1,3388
