loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisD[2],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,7476646,2,16,-4,0,0,0,6,1,-6,0,0,0,1,0,-3,1000,0,10,0,0,1249,217,-289,694,-1,-1,5,-1,1,1,80,4,2037,262,158,251,228,349,248,341,253,,,,,,,,,,,
1,7478615,2,14,-4,0,0,0,6,-3,-2,0,0,0,1,0,-3,1000,0,10,0,0,1249,216,-288,690,-2,-1,-1,-8,-9,5,42,4,2021,248,161,254,230,346,288,342,252,3,0,0,1,1,,,,,,
2,7480580,1,14,0,0,0,0,0,-2,-2,0,0,0,1,0,-3,1000,0,10,0,0,1249,217,-288,688,1,-1,4,-4,-9,9,79,48,2045,227,160,250,230,350,328,345,250,3,0,0,1,1,,,,,,
3,7482544,1,14,-6,0,0,0,3,-1,-9,0,0,0,1,0,-3,1000,0,10,0,0,1249,218,-288,695,0,-1,6,6,5,3,74,-20,1992,251,156,253,230,349,368,345,252,3,0,0,1,1,,,,,,
4,7484510,5,15,-8,0,0,2,3,-1,-6,0,2,0,1,0,-3,1000,0,10,0,0,1249,218,-288,694,1,-1,5,-4,-4,6,69,5,2011,242,125,251,250,336,370,347,250,3,0,0,1,1,,,,,,
5,7486475,5,16,-3,0,0,2,1,1,-1,0,2,0,1,0,-3,1000,0,10,0,0,1249,218,-289,688,0,-1,2,7,-26,7,50,21,2034,214,143,251,237,337,410,348,250,3,0,0,1,1,,,,,,
6,7488439,6,16,-5,0,0,2,0,0,-7,0,2,0,1,0,-3,1000,0,10,0,0,1249,218,-289,692,-1,0,8,-15,-6,8,52,-17,1983,228,131,249,243,339,450,348,249,3,0,0,1,1,,,,,,
7,7490402,7,17,-2,0,0,2,2,5,-1,0,2,0,1,0,-3,1000,0,10,0,0,1249,219,-290,688,-1,0,3,21,-13,9,57,23,2053,205,136,248,235,338,490,349,249,3,0,0,1,1,5,18,20,-2,80,2
8,7492364,8,17,-3,0,0,2,5,3,-6,0,2,0,1,0,-3,1000,0,10,0,0,1248,217,-290,687,2,-1,5,7,-15,0,57,-4,1996,212,149,249,238,337,489,312,281,3,0,0,1,1,5,18,20,-2,80,2
9,7496294,8,16,-4,0,0,2,2,2,-3,0,2,0,1,0,-3,1000,0,10,0,0,1247,219,-290,688,-2,1,2,9,-31,2,52,-8,2024,191,124,248,237,342,487,352,282,3,0,0,1,1,5,18,20,-2,80,2
