loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisD[2],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,9624964,-2,16,-1,0,0,0,4,1,-7,0,0,0,1,0,-3,1000,-1,12,0,0,1201,164,-375,722,0,0,3,0,1,3,105,24,2037,244,148,222,185,333,223,314,219,,,,,,,,,,,
1,9626932,-1,15,-5,0,0,0,4,-1,-6,0,0,0,1,0,-3,1000,-1,12,0,0,1201,163,-374,724,-1,-1,4,-12,6,4,109,24,2032,263,151,228,186,331,263,314,218,3,0,0,1,1,,,,,,
2,9628901,-1,15,-2,0,0,0,2,0,1,0,0,0,1,0,-3,1000,-1,12,0,0,1201,163,-375,718,1,1,-3,-5,0,8,100,57,2066,216,150,223,184,333,303,313,218,3,0,0,1,1,,,,,,
3,9630871,-1,15,-2,0,0,0,2,-2,-5,0,0,0,1,0,-3,1000,-1,12,0,0,1201,163,-375,719,-1,0,4,3,-6,15,88,20,2014,239,150,223,187,335,343,312,218,3,0,0,1,1,,,,,,
4,9632841,0,14,-6,0,0,0,2,-4,-4,0,0,0,1,0,-3,1000,-1,12,0,0,1204,157,-393,718,1,4,0,-1,-4,-15,92,35,2048,218,134,249,185,338,347,311,258,3,0,0,1,1,,,,,,
5,9634810,-1,15,-2,0,0,0,1,0,0,0,0,0,1,0,-3,1000,-1,12,0,0,1204,158,-394,713,2,2,-1,1,-8,-13,110,77,2083,208,142,234,183,340,387,311,258,3,0,0,1,1,,,,,,
6,9636780,0,15,-4,0,0,0,5,-1,-7,0,0,0,1,0,-3,1000,-1,12,0,0,1204,157,-395,717,-1,3,6,12,-1,-6,96,5,2046,226,138,241,184,340,427,310,259,3,0,0,1,1,,,,,,
7,9638750,1,16,-5,0,0,0,3,-2,-2,0,0,0,1,0,-3,1000,-1,12,0,0,1204,156,-395,717,1,2,-3,-5,-18,-16,89,41,2055,214,143,238,185,338,467,311,256,3,0,0,1,1,,,,,,
8,9640719,0,16,-1,0,0,0,0,-1,-3,0,0,0,1,0,-3,1000,-1,12,0,0,1204,157,-395,713,1,2,0,-10,1,-3,115,85,2074,204,141,236,186,342,430,343,-4827973,3,0,0,1,1,,,,,,
9,9644657,0,16,-6,0,0,0,5,-1,-11,0,0,0,1,0,-3,1000,-1,12,0,0,1205,87,-395,713,6,0,0,-3,9,-5,93,65,2015,182,163,237,188,345,429,383,-4827974,3,0,0,1,1,,,,,,
