loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisD[2],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,7280589,3,12,4,0,0,0,-4,1,6,0,0,0,1,1,-3,1000,3,9,0,0,1177,141,-298,721,1,1,-4,1,2,-3,51,-18,2025,206,194,239,148,298,207,313,237,,,,,,,,,,,
1,7282557,3,13,4,0,0,0,-3,5,-2,0,0,0,1,1,-3,1000,3,9,0,0,1177,141,-300,724,1,-2,1,12,13,1,71,-52,2019,206,190,239,144,300,247,313,238,3,0,0,1,1,,,,,,
2,7284526,4,13,-1,0,0,0,0,3,-2,0,0,0,1,1,-3,1000,3,9,0,0,1176,139,-301,724,5,0,-1,7,16,-1,62,-4,2016,227,255,238,148,301,244,353,237,3,0,0,1,1,,,,,,
3,7286495,4,13,3,0,0,0,-1,2,5,0,0,0,1,1,-3,1000,3,9,0,0,1175,142,-301,724,-2,-1,0,3,6,-6,54,-104,2017,188,155,242,145,304,246,393,237,3,0,0,1,1,,,,,,
4,7288464,3,12,5,0,0,0,-2,1,-1,0,0,0,1,1,-3,1000,3,9,0,0,1175,143,-300,723,2,0,3,9,6,-3,55,-52,1997,204,204,239,146,305,286,394,237,3,0,0,1,1,,,,,,
5,7290432,4,13,1,0,0,0,-2,2,-1,0,0,0,1,1,-3,1000,3,9,0,0,1176,166,-300,723,4,-1,1,9,-2,7,48,-18,2000,219,224,236,147,304,283,434,237,3,0,0,1,1,,,,,,
6,7292400,3,13,4,0,0,0,-5,1,5,0,0,0,1,1,-3,1000,3,9,0,0,1176,167,-300,718,4,0,-3,13,7,10,17,-14,1993,159,216,237,146,305,323,434,237,3,0,0,1,1,,,,,,
7,7294369,4,12,3,0,0,0,-1,-2,-1,0,0,0,1,1,-3,1000,3,9,0,0,1175,168,-301,718,5,-1,-2,15,8,14,40,-29,1973,181,238,238,145,304,324,474,236,3,0,0,1,1,,,,,,
8,7296338,5,12,-1,0,0,0,-2,-3,0,0,0,0,1,1,-3,1000,3,9,0,0,1175,167,-301,721,3,0,-2,9,-8,11,46,-21,1986,204,225,239,144,302,287,506,-3655805,3,0,0,1,1,,,,,,
9,7300275,3,11,4,0,0,0,-8,-4,5,0,0,0,1,1,-3,1000,3,9,0,0,1175,168,-301,717,5,0,-4,23,3,14,46,24,1987,169,234,236,145,306,327,506,-3655806,3,0,0,1,1,,,,,,
