loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisD[2],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
0,9579675,4,25,7,0,0,0,2,-5,5,0,0,0,0,1,-3,1000,2,18,0,0,1665,264,-488,732,-1,1,-4,-1,2,2,102,-31,2031,209,179,275,158,540,316,551,351,,,,,,,,,,,
1,9581644,4,25,1,0,0,0,1,-5,-5,0,0,0,0,1,-3,1000,2,18,0,0,1665,264,-488,739,-1,-1,0,0,76,-2,142,-52,2009,243,177,275,163,537,356,551,348,3,0,0,1,1,,,,,,
2,9583612,5,27,-1,0,0,0,4,-1,0,0,0,0,0,1,-3,1000,2,18,0,0,1665,264,-489,738,-1,-1,-5,32,-3,8,165,-41,2056,230,178,275,155,535,396,552,350,3,0,0,1,1,,,,,,
3,9585580,5,26,5,0,0,0,4,-6,5,0,0,0,0,1,-3,1000,2,18,0,0,1667,246,-490,738,-7,2,0,11,17,-27,148,-112,2054,246,147,281,156,537,401,592,349,3,0,0,1,1,,,,,,
4,9587549,4,27,-1,0,0,0,3,-2,-6,0,0,0,0,1,-3,1000,2,18,0,0,1666,248,-490,739,4,-4,-3,32,18,73,156,-29,2033,202,194,270,154,539,398,632,348,24,93,1,0,1,,,,,,
5,9589519,6,29,-1,0,0,0,5,2,1,0,0,0,0,1,-3,1000,2,18,0,0,1666,248,-492,737,2,-4,-12,32,-63,26,178,-70,2086,217,169,275,148,538,438,632,349,24,93,1,0,1,,,,,,
22,5,0,5,40,0,1,-1,5,0,2,-6,2,0,0,0,0,0,0,-1,2,-5,1670,0,-1,57,43,-1,-81,10,-10,-21,6,-2,0,164,204,163,163,1,2,0,7,24,93,1,0,1,,,,,,
23,5,-1,5,35,0,1,-1,1,2,-8,-6,2,0,0,0,0,0,0,-1,2,-5,1669,2,0,57,52,-1,-80,22,-5,-41,12,57,-10,131,230,151,162,4,-2,40,8,24,93,1,0,1,,,,,,
24,5,0,6,35,0,1,-1,3,5,0,-6,2,0,0,0,0,0,0,-1,2,-5,1668,0,1,55,43,0,-81,2,5,-31,25,50,-5,192,211,159,162,-3,-4,3,40,24,93,1,0,1,,,,,,
25,1974,2,5,41,0,1,-1,6,0,1,-6,2,0,0,0,0,0,0,-1,2,-5,1668,-1,1,53,44,1,-74,-8,54,-33,-21,62,-8,161,228,154,164,3,36,3,38,143,104,-27,1,20,,,,,,
