loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisD[2],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
1374,18628,162,29,363,-8,2157,397874,389,87,-7,89,-133,-100,35953,10881,510,12782,4271,24016,-133,128,109,646,1784,-4055791,52,1937,-1,-207,-40,60,90,86,67,411,288,265,359,-5016,245,-29,-127,178,32,-1,0,1,23,9,4,8,0,80
1375,20735,162,29,364,-8,2156,397874,388,87,-6,89,-133,-100,35953,10881,510,12787,4271,24016,-133,133,109,646,1783,-4055794,50,1936,24,-93,-62,63,24,89,91,410,302,289,363,-5009,208,1187,4072602,178,32,-1,0,1,23,9,4,8,0,80
1376,24810,167,31,365,-9,2155,397875,392,90,-6,89,-133,-100,35953,10881,510,12793,4271,24016,-132,139,109,642,1782,-4055794,49,1942,0,-198,2,59,57,75,120,424,305,283,364,-4996,248,1188,4072605,178,32,-1,0,1,23,9,4,8,0,80
1377,28885,170,31,364,-9,2154,397876,390,87,-7,89,-133,-100,35953,10881,510,12799,4271,24016,-132,146,109,639,1781,-4055793,47,1928,26,-161,-67,235,60,94,126,439,307,281,387,-4989,288,1186,4072606,178,32,-1,0,1,23,9,4,8,0,80
1378,32948,169,30,362,-9,2154,397875,391,87,4,78,-148,-57,35955,10885,511,12799,4271,33770,3990,146,126,679,1783,-4055791,48,1936,13,-181,-33,148,58,84,124,463,354,314,431,-4989,286,1185,4072605,178,32,-1,0,1,23,9,4,8,0,80
1379,37010,170,36,362,-9,2154,397876,390,93,4,78,-148,-56,35955,10885,511,12806,4271,33770,3991,153,127,1055,1781,-4055794,46,1924,5,-162,-33,162,207,125,130,494,326,307,424,-4966,293,1225,4072605,178,32,-1,0,1,23,9,4,8,0,80
1380,41073,170,39,363,-8,2154,397876,388,95,6,78,-148,-55,35955,10885,511,12813,4271,33770,3992,160,127,1055,1778,-4055794,46,1936,7,-191,-12,92,159,129,154,479,334,323,434,-4958,333,1224,4072610,178,32,-1,0,1,23,9,4,8,0,80
1381,45136,170,41,364,-8,2154,397876,384,90,5,78,-148,-55,35955,10885,520,12819,4271,33770,3993,166,127,1053,1776,-4055794,44,1919,2,-193,38,277,197,152,165,504,327,303,447,-4944,373,1225,4072610,178,32,-1,0,1,23,9,4,8,0,80
1382,49198,170,42,364,-8,2155,397876,384,87,4,78,-148,-55,35955,10885,520,12825,4271,33770,3994,173,126,1050,1776,-4055796,49,1920,5,-173,13,74,281,168,174,509,347,327,443,-4929,388,1265,4072613,178,32,-1,0,1,23,9,4,8,0,80
1383,53248,170,41,361,-8,2155,397876,397,95,31,191,57,-100,35955,23245,520,12825,4293,33771,3988,173,152,1054,1816,-4055801,44,1919,4,-186,25,169,242,160,169,506,379,303,493,-4897,436,1264,4072608,178,32,-1,0,1,23,9,4,8,0,80
